GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A2PU8_Ppor,0,0,1,1,0,0,0,0,4,0
GCKDGN101A2QVI_Ppor,0,0,1,0,0,0,0,1,2,0
GCKDGN101A2R04_Ppor,0,0,0,2,2,0,0,0,0,0
GCKDGN101A2TT4_Ppor,0,0,3,2,1,0,0,2,2,1
GCKDGN101A2V3C_Ppor,10,0,11,12,5,0,0,8,4,4
GCKDGN101A2WY5_Ppor,0,0,0,0,1,0,0,1,0,2
GCKDGN101A32G8_Ppor,0,0,0,6,0,0,0,2,0,1
GCKDGN101A33CU_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A33VX_Ppor,0,0,0,1,0,0,1,3,4,0
GCKDGN101A34D9_Ppor,0,0,3,0,0,0,1,0,2,0
GCKDGN101A35AI_Ppor,0,0,0,2,0,0,0,0,1,1
GCKDGN101A35CP_Ppor,0,0,2,1,0,0,0,1,1,1
GCKDGN101A38H8_Ppor,0,0,0,0,0,0,0,0,1,2
GCKDGN101A38VU_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A39MO_Ppor,0,0,0,3,0,0,0,0,0,0
GCKDGN101A39U8_Ppor,0,0,0,0,0,0,0,0,2,1
GCKDGN101A3A1B_Ppor,6,0,0,1,0,0,0,2,5,2
GCKDGN101A3AVK_Ppor,0,0,0,8,0,0,0,1,6,1
GCKDGN101A3EUL_Ppor,0,0,3,1,0,0,0,0,2,1
GCKDGN101A3FW4_Ppor,0,0,12,3,0,0,1,2,2,1
GCKDGN101A3GMY_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3LA5_Ppor,0,0,3,0,1,0,1,2,3,1
GCKDGN101A3LGC_Ppor,0,0,3,0,0,0,1,0,0,1
GCKDGN101A3MZM_Ppor,0,0,4,0,0,0,0,0,7,1
GCKDGN101A3N2H_Ppor,23,0,3,0,0,0,0,1,2,0
GCKDGN101A3NNK_Ppor,0,0,0,2,1,0,0,0,0,0
GCKDGN101A3QHI_Ppor,0,1,0,3,0,0,0,0,1,4
GCKDGN101A3QMF_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3RJK_Ppor,0,0,0,0,0,0,0,0,2,4
GCKDGN101A3SQJ_Ppor,0,0,0,1,0,0,0,0,3,1
GCKDGN101A3TPT_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3WSA_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3WTT_Ppor,0,0,0,0,0,0,0,0,1,0
GCKDGN101A3WZT_Ppor,0,6,2,0,0,0,0,0,0,0
GCKDGN101A3YQM_Ppor,0,0,0,1,1,0,0,1,3,3
GCKDGN101A3ZIL_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3ZVE_Ppor,0,0,3,5,2,0,0,1,4,0
GCKDGN101A40XG_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A44RN_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A44VH_Ppor,8,0,0,0,1,0,0,0,0,3
GCKDGN101A45U8_Ppor,0,0,0,3,0,0,0,0,1,1
GCKDGN101A46X0_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4805_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A48S3_Ppor,0,0,1,2,0,0,0,0,5,0
GCKDGN101A48ZU_Ppor,0,0,2,2,4,0,0,2,1,1
GCKDGN101A49CB_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4FGV_Ppor,0,0,0,1,1,0,0,0,2,1
GCKDGN101A4G6Y_Ppor,10,0,0,0,0,0,0,0,0,0
GCKDGN101A4H5X_Ppor,0,0,1,0,1,0,1,0,11,0
GCKDGN101A4I32_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4ILS_Ppor,0,0,2,0,0,0,0,0,5,3
GCKDGN101A4JA1_Ppor,0,0,10,3,1,0,2,1,5,5
GCKDGN101A4JC9_Ppor,0,0,0,0,0,0,0,2,3,1
GCKDGN101A4JTF_Ppor,0,0,0,1,0,0,0,1,0,0
GCKDGN101A4JVH_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4JZ5_Ppor,0,0,3,1,1,0,0,2,2,0
GCKDGN101A4LIT_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A4LJ1_Ppor,0,0,0,0,0,0,0,1,0,0
GCKDGN101A4M6J_Ppor,0,0,0,0,0,0,0,1,0,0
GCKDGN101A4NZH_Ppor,0,0,3,1,1,0,0,2,5,6
GCKDGN101A4PKS_Ppor,0,0,1,0,1,0,0,0,8,0
GCKDGN101A4PN8_Ppor,21,0,31,17,1,0,1,5,14,7
GCKDGN101A4PRK_Ppor,0,0,1,0,0,0,0,0,0,0
GCKDGN101A4Q5O_Ppor,0,0,0,0,0,0,0,1,0,0
