"gene","R_033_C_Pp_yr2","R_036_C_Pp_yr2","R_045_C_Pp_yr2","R_048_C_Pp_yr2","R_049_La_Pp_yr2","R_052_La_Pp_yr2","R_054_C_Pp_yr2","R_057_C_Pp_yr2","R_058_La_Pp_yr2"
"GCKDGN101A00ZL_Ppor",0,0,0.372348387104221,4.50539321373675,6.15177428374878,3.18001307759137,7.09550663444543,4.82455982673485,7.85959827521661
"GCKDGN101A0S84_Ppor",0,0,5.58522580656332,9.0107864274735,6.15177428374878,0,6.20856830513975,4.82455982673485,10.4794643669555
"GCKDGN101A12VJ_Ppor",0,38.5638228644073,1.86174193552111,3.0035954758245,2.05059142791626,0,0.886938329305679,1.60818660891162,0.873288697246289
"GCKDGN101A1CPM_Ppor",5.02746828628557,2.57092152429382,6.70227096787598,8.25988755851737,12.3035485674976,3.18001307759137,11.5301982809738,6.11110911386414,2.61986609173887
"GCKDGN101A1V7Z_Ppor",22.6236072882851,2.57092152429382,0.744696774208442,0,2.05059142791626,0,0.886938329305679,0.96491196534697,0
"GCKDGN101A20KS_Ppor",4.02197462902846,0,4.09583225814643,1.50179773791225,0,0,1.77387665861136,3.53801053960556,0
"GCKDGN101A2V3C_Ppor",5.02746828628557,0,4.09583225814643,9.0107864274735,10.2529571395813,0,7.09550663444543,1.28654928712929,3.49315478898516
"GCKDGN101A4PN8_Ppor",10.5576834011997,0,11.5428000002309,12.7652807722541,2.05059142791626,3.18001307759137,4.4346916465284,4.50292250495253,6.11302088072403
"GCKDGN101A4SUY_Ppor",28.6565692318278,2.57092152429382,0.744696774208442,1.50179773791225,2.05059142791626,0,2.66081498791704,0.643274643564647,5.23973218347774
"GCKDGN101A4W2H_Ppor",29.6620628890849,0,1.48939354841688,3.75449434478062,0,3.18001307759137,0,2.25146125247626,1.74657739449258
"GCKDGN101A4XXK_Ppor",15.5851516874853,0,0,0.750898868956125,0,0,0,0.643274643564647,0
"GCKDGN101A53V7_Ppor",0,0,7.0746193549802,2.25269660686837,2.05059142791626,0,3.54775331722272,5.14619714851717,0.873288697246289
"GCKDGN101A56R5_Ppor",30.667556546342,0,0.372348387104221,0.750898868956125,0,0,1.77387665861136,0,1.74657739449258
"GCKDGN101A57ST_Ppor",9.55218974394259,0,1.48939354841688,3.75449434478062,4.10118285583252,6.36002615518274,0,0.96491196534697,1.74657739449258
"GCKDGN101A5FF0_Ppor",10.0549365725711,0,4.46818064525065,3.75449434478062,2.05059142791626,9.54003923277411,5.32162997583407,1.60818660891162,1.74657739449258
"GCKDGN101A5ZON_Ppor",20.1098731451423,0,0.744696774208442,4.50539321373675,2.05059142791626,0,0,0.96491196534697,1.74657739449258
"GCKDGN101A67QA_Ppor",14.0769112015996,0,4.84052903235488,5.25629208269287,2.05059142791626,12.7200523103655,8.86938329305679,9.32748233168738,2.61986609173887
"GCKDGN101A6D55_Ppor",0,0,3.72348387104221,4.50539321373675,10.2529571395813,15.9000653879568,3.54775331722272,4.50292250495253,4.36644348623145
"GCKDGN101A7IKO_Ppor",0,0,9.68105806470975,8.25988755851737,2.05059142791626,3.18001307759137,8.86938329305679,11.2573062623813,1.74657739449258
"GCKDGN101A7KKC_Ppor",36.1977716612561,0,0,0,0,0,0,0.96491196534697,0.873288697246289
"GCKDGN101A7L4Y_Ppor",23.6291009455422,0,1.11704516131266,0,0,3.18001307759137,0.886938329305679,0.321637321782323,0.873288697246289
"GCKDGN101A7NLU_Ppor",2.01098731451423,0,1.86174193552111,3.0035954758245,2.05059142791626,3.18001307759137,9.75632162236247,6.11110911386414,9.60617566970918
"GCKDGN101A7QZ5_Ppor",3.01648097177134,0,4.09583225814643,0.750898868956125,0,3.18001307759137,2.66081498791704,3.85964786138788,4.36644348623145
"GCKDGN101A7VH2_Ppor",11.5631770584568,0,0.744696774208442,1.50179773791225,2.05059142791626,0,3.54775331722272,0,0
"GCKDGN101A8SQB_Ppor",10.5576834011997,2.57092152429382,0,3.0035954758245,0,0,0,1.28654928712929,0.873288697246289
"GCKDGN101A8ZZU_Ppor",7.54120242942836,0,4.84052903235488,2.25269660686837,0,3.18001307759137,6.20856830513975,1.28654928712929,4.36644348623145
"GCKDGN101A936C_Ppor",12.0659238870854,2.57092152429382,1.86174193552111,1.50179773791225,2.05059142791626,0,0.886938329305679,0,0
"GCKDGN101A9DE4_Ppor",2.51373414314279,0,4.46818064525065,1.50179773791225,2.05059142791626,0,2.66081498791704,1.92982393069394,5.23973218347774
"GCKDGN101A9DG8_Ppor",14.0769112015996,0,0,3.0035954758245,0,0,0.886938329305679,1.92982393069394,0.873288697246289
"GCKDGN101AJ0GF_Ppor",21.618113631028,0,6.70227096787598,8.25988755851737,0,0,1.77387665861136,1.92982393069394,1.74657739449258
"GCKDGN101AJ523_Ppor",10.5576834011997,0,1.48939354841688,6.007190951649,4.10118285583252,0,0.886938329305679,1.28654928712929,4.36644348623145
"GCKDGN101AK1BY_Ppor",34.1867843467419,0,5.2128774194591,6.75808982060512,2.05059142791626,0,2.66081498791704,3.21637321782323,3.49315478898516
"GCKDGN101AK5LZ_Ppor",11.5631770584568,0,0.744696774208442,0,2.05059142791626,3.18001307759137,7.09550663444543,0.96491196534697,1.74657739449258
"GCKDGN101AKLIM_Ppor",0,0,1.11704516131266,2.25269660686837,0,3.18001307759137,9.75632162236247,3.53801053960556,5.23973218347774
"GCKDGN101AL2AY_Ppor",0,0,4.46818064525065,3.0035954758245,2.05059142791626,12.7200523103655,4.4346916465284,4.1812851831702,3.49315478898516
"GCKDGN101AL2E2_Ppor",0,0,1.86174193552111,7.50898868956125,6.15177428374878,0,4.4346916465284,2.89473589604091,3.49315478898516
"GCKDGN101AL8RG_Ppor",37.2032653185132,12.8546076214691,5.95757419366754,9.76168529642962,16.4047314233301,9.54003923277411,18.6257049154193,16.0818660891162,10.4794643669555
"GCKDGN101ALAVH_Ppor",7.54120242942836,0,0,3.75449434478062,0,0,2.66081498791704,1.60818660891162,2.61986609173887
"GCKDGN101ALD7G_Ppor",0,0,5.58522580656332,2.25269660686837,2.05059142791626,0,3.54775331722272,1.92982393069394,2.61986609173887
"GCKDGN101ANXSO_Ppor",0,0,7.44696774208442,0.750898868956125,0,0,2.66081498791704,2.25146125247626,2.61986609173887
"GCKDGN101AO3BP_Ppor",32.6785438608562,0,8.93636129050131,10.5125841653857,6.15177428374878,3.18001307759137,3.54775331722272,6.75438375742879,8.73288697246289
"GCKDGN101AOVRL_Ppor",0.502746828628557,66.8439596316393,4.09583225814643,0.750898868956125,6.15177428374878,0,2.66081498791704,4.50292250495253,1.74657739449258
