GeneName	R_033_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_036_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_045_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_048_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_049_La_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_051_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_052_La_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_054_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_057_C_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads	R_058_La_Pp_yr2_R1_nof_hybridref_counts.txt_UniqueTotReads
GCKDGN101A00AO_Ppor	0	0	3	1	0	0	1	5	1	2
GCKDGN101A00ZL_Ppor	0	0	1	6	3	0	1	8	15	9
GCKDGN101A028J_Ppor	5	0	3	0	1	0	0	2	5	1
GCKDGN101A02W5_Ppor	0	0	0	0	0	0	0	0	1	0
GCKDGN101A03QE_Ppor	0	0	0	0	0	0	0	0	1	0
GCKDGN101A03XE_Ppor	0	0	3	4	0	0	0	3	3	1
GCKDGN101A0607_Ppor	0	0	3	0	0	0	0	1	2	0
GCKDGN101A06FB_Ppor	0	0	0	0	0	0	0	0	0	0
GCKDGN101A0884_Ppor	0	0	0	0	0	0	0	4	0	0
GCKDGN101A08CL_Ppor	0	0	10	3	1	0	1	2	5	1
GCKDGN101A08WT_Ppor	0	0	6	0	0	0	0	2	5	0
GCKDGN101A096T_Ppor	0	0	4	1	0	0	1	0	3	0
GCKDGN101A097A_Ppor	0	0	3	0	0	0	1	0	1	0
GCKDGN101A0ABX_Ppor	0	0	0	0	0	0	0	0	0	0
GCKDGN101A0AQ5_Ppor	0	0	0	0	0	0	0	0	1	1
GCKDGN101A0CJ2_Ppor	0	0	0	0	0	0	0	2	2	0
GCKDGN101A0I25_Ppor	0	0	0	3	0	0	0	2	3	0
GCKDGN101A0KR8_Ppor	0	0	1	0	0	0	0	0	0	0
GCKDGN101A0KSC_Ppor	0	0	4	5	0	0	3	3	6	3
GCKDGN101A0LCS_Ppor	0	0	1	0	0	0	0	1	1	0
GCKDGN101A0M5U_Ppor	0	0	8	0	0	0	1	4	5	3
GCKDGN101A0M8H_Ppor	0	0	1	0	0	0	0	4	5	2
