"gene","R_033_C_Pp_yr2","R_036_C_Pp_yr2","R_045_C_Pp_yr2","R_048_C_Pp_yr2","R_049_La_Pp_yr2","R_051_C_Pp_yr2","R_052_La_Pp_yr2"
"isogroup102813_Sym",0.240462994559367,0,0.769823810532653,15.7923534884967,3.0382047718992,19.6670321484761,4.15345518746361
"isogroup103455_Sym",9.13759379325593,0,3.84911905266327,0,1.5191023859496,0,0
"isogroup110909_Sym",4.80925989118733,0,0,0.831176499394562,1.5191023859496,0,0
"isogroup110910_Sym",3.24625042655145,0,1.53964762106531,1.66235299878912,0,0,1.0383637968659
"isogroup110917_Sym",4.68902839390765,0,0,0,0,0,1.0383637968659
"isogroup110922_Sym",3.84740791294986,0,0,1.66235299878912,3.0382047718992,0,0
"isogroup110936_Sym",3.6069449183905,0,0,0,0,1.51284862680585,4.15345518746361
"isogroup110949_Sym",11.6624552361293,0,1.53964762106531,5.81823549576193,3.0382047718992,1.51284862680585,0
"isogroup110978_Sym",11.5422237388496,4.98392642323679,6.92841429479388,1.66235299878912,0,1.51284862680585,6.23018278119542
"isogroup111000_Sym",5.29018588030606,0,10.7775333474571,1.66235299878912,3.0382047718992,3.0256972536117,3.11509139059771
"isogroup111007_Sym",2.40462994559367,0,10.7775333474571,4.15588249697281,7.59551192974799,0,5.19181898432951
"isogroup111058_Sym",3.48671342111081,0,0,0,3.0382047718992,1.51284862680585,3.11509139059771
"isogroup111068_Sym",2.1641669510343,4.98392642323679,8.46806191585918,8.31176499394562,3.0382047718992,1.51284862680585,6.23018278119542
"isogroup111107_Sym",10.2196772687731,0,5.38876667372857,0.831176499394562,3.0382047718992,0,4.15345518746361
"isogroup111131_Sym",4.44856539934828,4.98392642323679,6.92841429479388,11.6364709915239,12.1528190875968,4.53854588041756,13.4987293592567
"isogroup111133_Sym",2.64509294015303,0,1.53964762106531,0,7.59551192974799,1.51284862680585,5.19181898432951
"isogroup111134_Sym",6.73296384766226,4.98392642323679,2.30947143159796,0,0,3.0256972536117,0
"isogroup111148_Sym",7.213889836781,0,0.769823810532653,1.66235299878912,0,0,0
"isogroup111194_Sym",4.56879689662796,0,16.1663000211857,0,6.07640954379839,0,2.07672759373181
"isogroup111201_Sym",6.85319534494195,0,0,3.32470599757825,4.55730715784879,0,3.11509139059771
"isogroup111246_Sym",0.601157486398416,0,20.015419073849,4.15588249697281,6.07640954379839,0,4.15345518746361
"isogroup111261_Sym",4.3283339020686,0,0,4.98705899636737,0,3.0256972536117,1.0383637968659
"isogroup111264_Sym",18.99657657019,0,20.7852428843816,35.7405894739662,27.3438429470928,3.0256972536117,9.34527417179313
"isogroup111306_Sym",2.40462994559367,0,4.61894286319592,4.98705899636737,3.0382047718992,0,0
"isogroup111309_Sym",0,0,10.0077095369245,4.15588249697281,18.2292286313952,0,3.11509139059771
"isogroup111314_Sym",2.1641669510343,94.6946020414989,1.53964762106531,3.32470599757825,1.5191023859496,0,3.11509139059771
"isogroup111372_Sym",5.53064887486543,0,1.53964762106531,4.98705899636737,6.07640954379839,4.53854588041756,7.26854657806132
"isogroup111377_Sym",0,0,13.0870047790551,10.8052944921293,0,0,1.0383637968659
"isogroup111381_Sym",4.44856539934828,0,3.07929524213061,9.97411799273474,6.07640954379839,28.7441239093112,6.23018278119542
"isogroup111469_Sym",5.0497228857467,4.98392642323679,5.38876667372857,0.831176499394562,0,0,1.0383637968659
"isogroup111491_Sym",3.84740791294986,0,1.53964762106531,1.66235299878912,3.0382047718992,0,2.07672759373181
"isogroup111517_Sym",5.0497228857467,0,5.38876667372857,1.66235299878912,1.5191023859496,0,1.0383637968659
"isogroup111527_Sym",10.5803717606121,0,0,1.66235299878912,1.5191023859496,0,0
"isogroup111538_Sym",3.12601892927176,0,5.38876667372857,0.831176499394562,1.5191023859496,4.53854588041756,1.0383637968659
"isogroup111550_Sym",6.4925008531029,0,0,1.66235299878912,1.5191023859496,4.53854588041756,2.07672759373181
"isogroup111552_Sym",4.56879689662796,0,2.30947143159796,7.48058849455106,1.5191023859496,0,1.0383637968659
"isogroup111556_Sym",5.65088037214511,0,0,3.32470599757825,1.5191023859496,3.0256972536117,0
"isogroup111558_Sym",10.8208347551715,0,10.0077095369245,7.48058849455106,3.0382047718992,3.0256972536117,0
"isogroup111560_Sym",3.00578743199208,0,9.23788572639184,3.32470599757825,0,0,0
"isogroup111561_Sym",0.480925989118733,0,15.3964762106531,4.15588249697281,1.5191023859496,0,1.0383637968659
"isogroup111572_Sym",0.240462994559367,0,16.1663000211857,4.98705899636737,3.0382047718992,0,9.34527417179313
"isogroup111580_Sym",15.0289371599604,4.98392642323679,16.1663000211857,2.49352949818369,7.59551192974799,1.51284862680585,0
"isogroup111602_Sym",1.80347245919525,0,14.6266524001204,3.32470599757825,1.5191023859496,0,2.07672759373181
"isogroup111604_Sym",3.36648192383113,0,5.38876667372857,2.49352949818369,1.5191023859496,3.0256972536117,1.0383637968659
"isogroup111635_Sym",2.64509294015303,0,4.61894286319592,2.49352949818369,9.11461431569758,1.51284862680585,2.07672759373181
"isogroup111658_Sym",3.36648192383113,0,2.30947143159796,0,1.5191023859496,0,0
"isogroup111683_Sym",3.6069449183905,4.98392642323679,2.30947143159796,3.32470599757825,6.07640954379839,0,2.07672759373181
"isogroup111687_Sym",6.01157486398416,0,3.07929524213061,1.66235299878912,0,0,0
"isogroup111699_Sym",1.68324096191557,0,3.84911905266327,4.98705899636737,1.5191023859496,4.53854588041756,4.15345518746361
"isogroup111713_Sym",15.1491686572401,0,4.61894286319592,14.1300004897075,9.11461431569758,4.53854588041756,7.26854657806132
"isogroup111732_Sym",6.37226935582321,0,3.07929524213061,2.49352949818369,3.0382047718992,0,0
"isogroup111735_Sym",3.24625042655145,0,0,6.64941199515649,0,1.51284862680585,1.0383637968659
"isogroup111736_Sym",9.61851978237466,0,0,4.98705899636737,0,3.0256972536117,1.0383637968659
"isogroup111744_Sym",6.25203785854353,0,0,0,0,1.51284862680585,0
"isogroup111752_Sym",2.76532443743272,0,10.0077095369245,4.98705899636737,1.5191023859496,0,4.15345518746361
"isogroup111754_Sym",4.80925989118733,0,13.8568285895878,2.49352949818369,0,0,3.11509139059771
"isogroup111764_Sym",0,0,13.0870047790551,4.15588249697281,9.11461431569758,3.0256972536117,1.0383637968659
"isogroup111772_Sym",0.841620480957783,0,9.23788572639184,5.81823549576193,7.59551192974799,1.51284862680585,2.07672759373181
"isogroup111774_Sym",2.64509294015303,0,8.46806191585918,2.49352949818369,1.5191023859496,3.0256972536117,0
"isogroup111778_Sym",5.65088037214511,0,0,2.49352949818369,6.07640954379839,0,4.15345518746361
"isogroup111786_Sym",15.0289371599604,0,16.1663000211857,30.7535304775988,27.3438429470928,13.6156376412527,18.6905483435863
"isogroup111795_Sym",3.6069449183905,0,2.30947143159796,0,1.5191023859496,4.53854588041756,2.07672759373181
"isogroup111837_Sym",7.33412133406068,0,0,10.8052944921293,6.07640954379839,1.51284862680585,0
"isogroup111839_Sym",6.25203785854353,0,0.769823810532653,0,1.5191023859496,0,0
"isogroup111843_Sym",4.08787090750923,0,3.07929524213061,0,0,0,1.0383637968659
"isogroup111848_Sym",17.1931041109947,0,1.53964762106531,0,3.0382047718992,0,1.0383637968659
"isogroup111855_Sym",7.45435283134036,0,1.53964762106531,0,4.55730715784879,0,2.07672759373181
"isogroup111875_Sym",6.73296384766226,0,0,2.49352949818369,1.5191023859496,0,1.0383637968659
"isogroup111880_Sym",6.37226935582321,4.98392642323679,6.15859048426123,17.4547064872858,1.5191023859496,0,3.11509139059771
"isogroup111903_Sym",13.3456961980448,0,0,2.49352949818369,0,0,2.07672759373181
"isogroup111922_Sym",0,0,19.2455952633163,9.97411799273474,3.0382047718992,0,3.11509139059771
"isogroup111927_Sym",7.57458432862004,0,3.07929524213061,3.32470599757825,3.0382047718992,1.51284862680585,2.07672759373181
"isogroup111950_Sym",4.20810240478891,0,0.769823810532653,3.32470599757825,1.5191023859496,1.51284862680585,1.0383637968659
"isogroup111962_Sym",6.73296384766226,4.98392642323679,3.07929524213061,0.831176499394562,0,0,1.0383637968659
"isogroup112091_Sym",1.32254647007652,0,16.1663000211857,0.831176499394562,0,1.51284862680585,6.23018278119542
"isogroup112095_Sym",6.73296384766226,0,1.53964762106531,2.49352949818369,0,1.51284862680585,0
"isogroup112117_Sym",6.13180636126385,0,1.53964762106531,1.66235299878912,3.0382047718992,7.56424313402926,7.26854657806132
"isogroup112151_Sym",0,0,1.53964762106531,6.64941199515649,19.7483310173448,3.0256972536117,8.30691037492722
"isogroup112164_Sym",3.36648192383113,0,4.61894286319592,2.49352949818369,0,0,4.15345518746361
"isogroup112200_Sym",4.80925989118733,0,0,2.49352949818369,0,0,0
"isogroup112245_Sym",17.7942615973931,0,3.84911905266327,0.831176499394562,0,0,0
"isogroup112260_Sym",3.12601892927176,0,3.07929524213061,0,1.5191023859496,0,2.07672759373181
"isogroup112282_Sym",5.65088037214511,4.98392642323679,0,1.66235299878912,1.5191023859496,0,1.0383637968659
"isogroup112354_Sym",10.9410662524512,0,7.69823810532653,9.97411799273474,0,0,3.11509139059771
"isogroup112371_Sym",2.64509294015303,0,6.15859048426123,0.831176499394562,0,0,1.0383637968659
"isogroup112904_Sym",8.29597331229814,0,0,0,0,0,1.0383637968659
"isogroup112962_Sym",3.12601892927176,0,0,1.66235299878912,1.5191023859496,1.51284862680585,0
"isogroup112972_Sym",3.12601892927176,0,5.38876667372857,0,3.0382047718992,4.53854588041756,0
"isogroup113002_Sym",11.4219922415699,0,7.69823810532653,4.15588249697281,6.07640954379839,3.0256972536117,5.19181898432951
"isogroup113014_Sym",4.08787090750923,89.7106756182621,0,0.831176499394562,1.5191023859496,0,0
"isogroup113043_Sym",7.09365833950131,0,3.07929524213061,1.66235299878912,0,0,4.15345518746361
"isogroup113120_Sym",3.00578743199208,0,3.84911905266327,2.49352949818369,0,1.51284862680585,3.11509139059771
