GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
isogroup100965_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100966_Sym,16,0,2,0,0,3,0,0,0,0
isogroup100969_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101000_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101015_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101020_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101022_Sym,0,0,0,1,0,0,0,0,0,0
isogroup101031_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101037_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101053_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101057_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101077_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101083_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101092_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101098_Sym,0,0,0,0,0,0,0,1,2,0
isogroup101100_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101108_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101130_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101134_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101171_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101193_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101199_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101210_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101211_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101226_Sym,0,1,0,0,0,0,0,0,0,0
isogroup101238_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101246_Sym,0,0,0,0,0,0,0,0,2,0
isogroup101277_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101282_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101288_Sym,0,0,4,2,5,2,3,0,1,0
isogroup101291_Sym,0,0,0,0,0,2,0,0,0,0
isogroup101296_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101299_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101302_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101312_Sym,0,1,0,0,0,0,0,0,0,0
isogroup101337_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101339_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101341_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101344_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101345_Sym,0,0,2,0,0,0,0,0,0,0
isogroup101348_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101353_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101370_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101379_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101401_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101420_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101421_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101423_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101424_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101426_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101427_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101435_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101445_Sym,0,0,0,0,0,0,0,1,0,0
isogroup101449_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101457_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10146_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101470_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101474_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101491_Sym,0,1,0,0,0,0,0,0,0,0
isogroup101531_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101534_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101546_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101562_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101567_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101595_Sym,0,1,0,0,0,0,0,0,0,0
isogroup101598_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101603_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101614_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101628_Sym,0,0,3,1,0,1,1,0,0,0
isogroup101655_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101684_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101697_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101700_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101726_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101750_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101764_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101768_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101794_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101796_Sym,3,0,0,0,0,5,1,0,0,0
isogroup101816_Sym,0,0,0,0,0,0,0,0,0,1
isogroup101818_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101830_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101833_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101835_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101840_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101841_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101858_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101862_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101873_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101875_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101891_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101894_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101901_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101918_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101919_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101921_Sym,0,1,0,0,0,0,0,0,0,0
isogroup101951_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101962_Sym,0,0,0,0,0,0,0,1,0,0
isogroup101980_Sym,0,0,0,0,0,0,0,0,0,0
isogroup101996_Sym,0,0,0,1,0,0,0,1,0,3
isogroup101997_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102007_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102009_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102012_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102013_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102014_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102024_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102027_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102029_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102065_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102070_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102078_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102083_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102085_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102090_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102097_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102141_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102163_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102166_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102169_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102180_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102188_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102189_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102192_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102206_Sym,1,0,0,0,0,0,0,0,0,0
isogroup102222_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102224_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102227_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102233_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102236_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102240_Sym,0,0,6,3,1,0,0,0,0,0
isogroup102257_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102260_Sym,0,0,0,0,0,0,0,0,2,0
isogroup102261_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102278_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102280_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102291_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102295_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102306_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102311_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102312_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102313_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102320_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102328_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102337_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102342_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102345_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102348_Sym,0,1,0,0,0,0,0,0,0,0
isogroup102366_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102377_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102379_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102380_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102381_Sym,0,0,0,0,1,0,0,2,0,0
isogroup102383_Sym,0,0,0,0,1,0,0,0,0,0
isogroup102390_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102391_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102408_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102411_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102435_Sym,0,0,0,1,0,0,0,0,0,0
isogroup102439_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102451_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102452_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102462_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102467_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102469_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102480_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102486_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102487_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102490_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102504_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102508_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102510_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102515_Sym,25,0,0,0,2,0,0,0,0,0
isogroup102524_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102535_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102551_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102553_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102560_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102561_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102575_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102585_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102602_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102609_Sym,1,0,0,0,0,0,0,0,0,0
isogroup102614_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102625_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102635_Sym,0,0,2,0,0,0,0,0,0,0
isogroup102636_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102638_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10263_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102648_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102653_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102658_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102666_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102668_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102669_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102677_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102678_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102679_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102682_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102685_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102690_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102692_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102693_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102696_Sym,19,0,1,0,1,0,0,0,0,0
isogroup102698_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102702_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102705_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102712_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102713_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102720_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102722_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10272_Sym,0,0,0,1,0,0,0,0,1,0
isogroup102732_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102737_Sym,0,0,0,0,0,0,0,1,0,0
isogroup102738_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102748_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102754_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102760_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102782_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102784_Sym,0,0,0,0,0,0,0,0,0,0
isogroup102796_Sym,6,0,1,1,0,0,2,0,0,0
